101009000754,101009000755,101016010907,101024011683,101024064912,101026074480,101067012071,101091045414,101091073120,101091073156
False,False,False,False,False,True,False,False,False,False
True,False,False,False,True,False,False,False,False,False
False,False,True,False,False,False,False,False,False,False
False,False,False,False,False,False,True,False,False,False
False,False,False,False,False,False,True,False,False,False
False,False,False,True,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False
False,False,False,True,False,False,False,False,False,False
False,False,True,False,False,False,False,False,False,False
False,False,False,False,True,False,True,False,False,False
False,False,False,True,False,False,True,False,False,False
False,False,False,True,False,False,False,False,False,False
False,False,False,True,False,False,False,False,False,False
False,False,False,False,False,False,True,False,False,False
False,False,False,False,True,False,False,False,False,False
False,False,False,True,True,False,False,False,False,False
False,False,False,False,True,False,False,False,False,False
False,True,False,True,False,False,False,False,False,False
False,False,False,True,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False
False,False,False,True,False,False,False,False,False,False
False,False,True,False,False,False,False,False,False,False
False,False,True,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False
False,False,False,True,False,False,True,False,False,False
False,False,False,True,False,False,False,False,True,True
False,False,True,False,False,False,False,False,False,False
False,False,False,False,False,False,True,False,False,False
False,False,True,False,False,False,False,False,False,False
False,False,False,True,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False
False,False,False,True,False,False,False,False,False,False
False,False,False,True,False,False,False,False,False,False
False,False,False,False,False,False,True,False,False,False
False,False,False,False,False,False,True,False,False,False
False,False,False,False,False,False,True,False,False,False
True,False,False,False,False,True,True,False,False,False
False,False,False,False,False,False,True,False,False,False
False,False,False,False,False,True,False,False,False,False
False,False,False,False,False,True,True,False,False,False
False,False,False,False,False,False,True,False,False,False
False,False,False,False,False,False,True,False,False,False
False,False,False,False,False,False,True,False,False,False
False,False,False,False,False,False,True,False,False,False
False,False,False,False,False,True,False,False,False,False
False,False,False,False,False,False,True,False,False,False
False,False,True,False,False,False,False,False,False,False
False,False,False,True,False,False,False,False,False,False
False,False,False,True,False,False,False,False,False,False
False,False,False,False,False,False,True,False,False,False
False,False,False,False,False,False,True,False,False,False
False,False,False,False,False,True,True,False,False,False
False,False,False,False,False,False,True,False,False,False
False,False,False,False,False,False,True,False,False,False
False,False,False,True,False,False,False,False,False,False
False,False,False,False,False,True,False,False,False,False
False,False,False,False,False,True,False,False,False,False
False,True,False,False,False,False,False,False,False,False
False,False,False,True,False,False,False,False,False,False
False,False,True,False,False,False,False,False,False,False
False,False,False,False,False,True,True,False,False,False
False,False,True,False,False,False,False,False,False,False
False,False,True,False,False,False,False,False,False,False
False,False,False,False,False,False,True,False,False,False
False,False,False,True,False,False,False,False,False,False
False,False,False,True,False,False,False,False,False,False
False,False,True,False,False,False,False,False,False,False
False,False,False,True,False,False,True,False,False,False
False,False,True,False,False,False,False,False,False,False
